overture_l0,overture_l1,overture_l2,overture_l3,shared_label
shopping,,tobacco_shop,,Specialty Store
shopping,,food_delivery_service,,Fast Food
shopping,food_and_beverage_store,,,Specialty Store
shopping,convenience_store,,,Convenience Store
shopping,department_store,,,Clothing Store
shopping,discount_store,,,Discount Store
shopping,,shoe_store,,Shoe Store
shopping,,jewelry_store,,Jewelry Store
shopping,,eyewear_store,,Eye Care
shopping,fashion_and_apparel_store,,,Clothing Store
shopping,,farmers_market,,Farmers Market
shopping,market,,,Market
shopping,,antique_store,,Specialty Store
shopping,,flea_market,,Market
shopping,,junkyard,,Other Shop
shopping,second_hand_store,,,Thrift Store
shopping,shopping_mall,,,Shopping Center
shopping,warehouse_club_store,,,Wholesale Store
shopping,superstore,,,Supermarket
shopping,kiosk,,,Convenience Store
shopping,shopping_service,,,Other Shop
shopping,,vehicle_parts_store,,Car Repair
shopping,,,mobile_phone_store,Cell Phone Store
shopping,,,mobile_phone_accessory_store,Cell Phone Store
shopping,,,gift_shop,Specialty Store
shopping,,flowers_and_gifts_store,,Florist
shopping,,,hardware_store,Hardware
shopping,,,building_supply_store,Hardware
shopping,,,home_improvement_store,Hardware
shopping,,,paint_store,Hardware
shopping,,,flooring_store,Hardware
shopping,,,carpet_store,Hardware
shopping,,,tile_store,Hardware
shopping,,,lighting_store,Hardware
shopping,,,electrical_supply_store,Hardware
shopping,,,kitchen_and_bath_store,Hardware
shopping,,,window_treatment_store,Hardware
shopping,,,furniture_store,Furniture Store
shopping,,,mattress_store,Furniture Store
shopping,,,home_goods_store,Furniture Store
shopping,,,home_decor_store,Furniture Store
shopping,,,outdoor_furniture_store,Furniture Store
shopping,,,linen_store,Furniture Store
shopping,,,nursery_and_gardening_store,Garden Store
shopping,,,lawn_mower_store,Garden Store
shopping,,,hot_tub_and_pool_store,Garden Store
shopping,,,appliance_store,Specialty Store
shopping,,,candle_store,Specialty Store
shopping,,,christmas_tree_store,Specialty Store
shopping,,hardware_home_and_garden_store,,Hardware
shopping,,pharmacy_and_drug_store,,Pharmacy
shopping,,,bike_store,Bike shop
shopping,,sporting_goods_store,,Sports Outlet
shopping,,,bookstore,Bookstore
shopping,,,video_game_store,Specialty Store
shopping,,,video_and_video_game_rental,Specialty Store
shopping,,books_music_and_video_store,,Bookstore
shopping,,animal_and_pet_store,,Pet Store
shopping,,,cannabis_dispensary,Cannabis Dispensary
shopping,specialty_store,,,Specialty Store
shopping,vehicle_dealer,,,Car Dealer
shopping,,,,Other Shop
sports_and_recreation,,gym,,Fitness Center
sports_and_recreation,,fitness_studio,,Fitness Center
sports_and_recreation,,gymnastics_center,,Fitness Center
sports_and_recreation,,fitness_trainer,,Fitness Center
sports_and_recreation,,boxing_class,,Fitness Center
sports_and_recreation,,cycling_class,,Fitness Center
sports_and_recreation,,martial_arts_club,,Fitness Center
sports_and_recreation,,dance_studio,,Performing Arts
sports_and_recreation,,golf_course,,Golf Course
sports_and_recreation,,swimming_pool,,Swimming Pool
sports_and_recreation,,bowling_alley,,Bowling Alley
sports_and_recreation,sport_or_fitness_facility,,,Recreation
sports_and_recreation,,dog_park,,Dog Park
sports_and_recreation,,playground,,Playground
sports_and_recreation,,water_park,,Recreation
sports_and_recreation,park,,,Park
sports_and_recreation,sport_or_recreation_club,,,Recreation
sports_and_recreation,recreational_trail_or_path,,,Park
sports_and_recreation,recreational_equipment_rental,,,Sports Outlet
sports_and_recreation,sport_league,,,Recreation
sports_and_recreation,sport_team,,,Recreation
sports_and_recreation,,,,Recreation
travel_and_transportation,,gas_station,,Gas Station
travel_and_transportation,,ev_charging_station,,Charging Station
travel_and_transportation,fueling_station,,,Gas Station
travel_and_transportation,,,car_wash,Car Wash
travel_and_transportation,,,auto_detailing,Car Wash
travel_and_transportation,,,tire_shop,Tire Store
travel_and_transportation,vehicle_service,,,Car Repair
travel_and_transportation,,,,Car Repair
